rank,id,smiles,fit_score,n_hits
21622,F0001-1767,Cc1ccnc(N)c1[N+](=O)[O-],0.1619154260398857,1
21623,F2198-4610,Cc1[nH]nc(C(F)(F)F)c1CCl,0.16191283248016536,1
21624,F2198-1531,Cc1[nH]nc(C(F)(F)F)c1CBr,0.16190500577829972,1
21625,F2197-2623,Cn1cnc(-c2nc3ccc(C(F)(F)F)cc3[nH]2)c1,0.1619033630838021,1
21626,F1916-7064,Cc1c(F)ccc2ccc(=O)[nH]c12,0.16190091910019352,1
21627,F1913-6375,CC(C)(CN)C(C)(C)CN,0.16189898180399362,2
21628,F1967-9390,CC1CCCC(NC2CCCCC2)C1,0.1618944472831869,2
21629,F1908-0280,NC1CN(C(=O)c2ccc(F)cc2F)C1,0.1618924007423552,2
21630,F2147-2253,N[C@H]1CC[C@H](OC(=O)N2CCCCCC2)CC1,0.16189159226121289,1
21631,F2185-0032,CNCc1nc(C(C)C)no1.Cl,0.16188926114427624,1
21632,F9995-4388,NCCOc1ccc(CCN)cc1,0.16188526016445606,2
21633,F1967-5808,Cc1ccc2nc(-c3ccccn3)cn2c1,0.16188288717169852,1
21634,F2198-4268,CCc1[nH]nc(C2CC2)c1CCC(=N)OC,0.1618782791956441,1
21635,F1921-0322,CC(=O)c1cc(C(C)(F)F)cc(C(C)(F)F)c1,0.16187654157573614,2
21636,F6545-4368,COc1cccc(N[C@H]2CCCC[C@@H]2O)c1,0.16187216369105617,2
21637,F1913-6463,CC(C)(F)CN1CCC(O)CC1,0.1618643709272345,1
21638,F1919-2635,COc1ccnc(CCC(C)O)c1,0.16186409818909583,2
21639,F1911-1986,Cc1cc(N2CCN(C(=O)OC(C)(C)C)C[C@H]2C)ncn1,0.16186295562786576,1
21640,F1913-6118,O=C1NCCCC1c1ccccc1O,0.16186132716281615,1
21641,F2173-1530,O=Cc1c(F)c(Br)c(F)c(C=O)c1F,0.16185922873300854,2
21642,F2167-0044,COC(=O)c1cc(N)cc2[nH]ccc12.Cl,0.16185827730304303,1
21643,F2147-1987,Cc1cc(C)nc(OC2CCC(=O)CC2)n1,0.16185560645825398,1
21644,F6217-0221,C#CCCNC(=O)c1ccc(F)cc1Cl,0.16184822795614842,2
21645,F2157-0497,CCOc1ccccc1N=[N+]=[N-],0.16184575609882207,2
21646,F2198-3299,O=C(O)c1c(-c2ccsc2)n[nH]c1C1CC1,0.16184411324735629,1
21647,F1909-8741,COC(=O)C1(Oc2ncccc2Br)CC1,0.16184377338262287,2
21648,F1904-1677,CCOC(=O)c1ncnc(C(CC)CC)c1F,0.16183982996998808,1
21649,F8887-2674,CC(C)(C)OC(=O)NC(C(=O)O)C1CCCC1,0.16183947462907888,1
21650,F2167-6833,COC(=O)C#Cc1cccc(C(C)=O)c1,0.16183820783765634,2
21651,F1908-3172,CC1CCC(n2cc(C(=O)O)nn2)CC1,0.16183799963559845,1
21652,F2167-1591,CCC(N)CSC1=NCCS1.Cl,0.16183537555025906,1
21653,F1922-4265,Cc1ccc(Cl)c2ccn(CC(=O)O)c12,0.16183307014925474,1
21654,F1967-0133,NC(=O)c1cccnc1N,0.16183254351151005,1
21655,F0001-2794,O=C1COC1,0.16183054788011048,1
21656,F1911-7329,O=C(O)c1ccnc(-c2ccco2)n1,0.1618300517778129,1
21657,F1921-0230,NC1c2cccc(Br)c2CC1O,0.16182906667431485,1
21658,F2198-4595,Cc1[nH]nc(C(F)(F)F)c1CO,0.1618193954006169,1
21659,F1922-4128,COc1cc(F)c2c(c1)C(=O)C(=O)N2,0.16181673191248658,3
21660,F2198-4305,CNCc1c(C2CC2)n[nH]c1C1CCOCC1,0.16181291886219074,1
21661,F2197-0664,CN(c1cncc2c1cnn2C)C1CCNCC1,0.16181175426488284,1
21662,F1911-2187,COC(=O)C1CCN(c2cc(CC3CC3)ncn2)CC1,0.16180507245441758,1
21663,F1903-6368,Fc1cccc(-c2nc[nH]c(=S)c2F)c1,0.16180422606872397,2
21664,F1814-9604,C#CCCCNC(C)=O,0.16180365635845864,1
21665,F2198-1461,CC(C)c1[nH]nc(-c2ccco2)c1CBr,0.16179186818165492,1
21666,F1916-4244,N#Cc1cn[nH]c1Cc1ccccc1,0.1617908375335933,1
21667,F8889-0856,O=C(O)c1cc(C(F)(F)F)n[nH]1,0.16178211847922133,2
21668,F1913-7733,CC(CO)(COCc1ccccc1)C(F)F,0.16177608948476757,2
21669,F1903-4068,Fc1c(-c2cccc(Cl)c2)nc[nH]c1=S,0.16177530491425895,2
21670,F1916-7048,Cc1cc(Cl)cc2ccc(=O)[nH]c12,0.16177408653218922,1
