synthon_smiles,original_smiles,parent_fit_score,parent_n_hits,reactivity,bb_info
CCOc1ccc(C[NH2:40])cn1,CCOc1ccc(CN)cn1,0.5448770292528962,3,nucleophile,"{'PrimaryAmines_PriAmines_Het-benzylic', 'PrimaryAmines_PriAmines_Aliphatic'}"
CCOc1ccc(C[NH2:20])cn1,CCOc1ccc(CN)cn1,0.5448770292528962,3,nucleophile,"{'PrimaryAmines_PriAmines_Het-benzylic', 'PrimaryAmines_PriAmines_Aliphatic'}"
COc1ccc(C[NH:20]C(C)C(C)C)cc1OC,COc1ccc(CNC(C)C(C)C)cc1OC,0.5445860272109384,3,nucleophile,"{'SecondaryAmines_secAliphatic', 'SecondaryAmines_secBenzylic'}"
O=S1(=O)C[CH2:10]c2sccc2N1,O=C1CS(=O)(=O)Nc2ccsc21,0.5393960182456158,3,electrophile,{'Ketones_Ketones'}
O=C1c2sccc2NS(=O)(=O)[CH2:40]1,O=C1CS(=O)(=O)Nc2ccsc21,0.5393960182456158,3,nucleophile,{'Ketones_Ketones'}
O=S1(=O)C[CH:10](O)c2sccc2N1,O=C1CS(=O)(=O)Nc2ccsc21,0.5393960182456158,3,electrophile,{'Ketones_Ketones'}
O=S1(=O)C[CH:10]([OH:20])c2sccc2N1,O=C1CS(=O)(=O)Nc2ccsc21,0.5393960182456158,3,bifunctional,"{'Ketones_Ketones', 'Alcohols_Aliphatic_alcohols'}"
Cc1[nH]c(-n2ncc(C(=O)O)c2[NH2:20])nc(=O)c1C,CCOC(=O)c1cnn(-c2nc(C)c(C)c(=O)[nH]2)c1N,0.5372089283185576,3,nucleophile,{'Bifunctional_Amine_Ester'}
Cc1[nH]c(-n2ncc(C(=O)O)c2[NH2:40])nc(=O)c1C,CCOC(=O)c1cnn(-c2nc(C)c(C)c(=O)[nH]2)c1N,0.5372089283185576,3,nucleophile,{'Bifunctional_Amine_Ester'}
Cc1[nH]c(-n2ncc([CH:10]=O)c2[NH2:20])nc(=O)c1C,CCOC(=O)c1cnn(-c2nc(C)c(C)c(=O)[nH]2)c1N,0.5372089283185576,3,bifunctional,{'Bifunctional_Amine_Ester'}
Cc1[nH]c(-n2ncc([CH:10]=O)c2[NH2:40])nc(=O)c1C,CCOC(=O)c1cnn(-c2nc(C)c(C)c(=O)[nH]2)c1N,0.5372089283185576,3,bifunctional,{'Bifunctional_Amine_Ester'}
COc1ccc(C(=O)NCC[NH2:40])cc1OC,COc1ccc(C(=O)NCCN)cc1OC,0.5327840076251334,3,nucleophile,{'PrimaryAmines_PriAmines_Aliphatic'}
COc1ccc(C(=O)NCC[NH2:20])cc1OC,COc1ccc(C(=O)NCCN)cc1OC,0.5327840076251334,3,nucleophile,{'PrimaryAmines_PriAmines_Aliphatic'}
COc1cc(OC)cc(C2CC2(C(=O)O)[NH2:20])c1,COc1cc(OC)cc(C2CC2(N)C(=O)O)c1,0.5319345534137687,3,nucleophile,"{'Aminoacids_AlphaAmino_Acid', 'Aminoacids_N-AliphaticAmino_Acid'}"
COc1cc(OC)cc(C2CC2(C(=O)O)[NH2:40])c1,COc1cc(OC)cc(C2CC2(N)C(=O)O)c1,0.5319345534137687,3,nucleophile,"{'Aminoacids_AlphaAmino_Acid', 'Aminoacids_N-AliphaticAmino_Acid'}"
COc1cc(OC)cc(C2CC2(N)[CH:10]=O)c1,COc1cc(OC)cc(C2CC2(N)C(=O)O)c1,0.5319345534137687,3,electrophile,"{'Aminoacids_AlphaAmino_Acid', 'Aminoacids_N-AliphaticAmino_Acid'}"
COc1cc(OC)cc(C2CC2([CH:10]=O)[NH2:20])c1,COc1cc(OC)cc(C2CC2(N)C(=O)O)c1,0.5319345534137687,3,bifunctional,"{'Aminoacids_AlphaAmino_Acid', 'Aminoacids_N-AliphaticAmino_Acid'}"
COc1cc(OC)cc(C2CC2([CH:10]=O)[NH2:40])c1,COc1cc(OC)cc(C2CC2(N)C(=O)O)c1,0.5319345534137687,3,bifunctional,"{'Aminoacids_AlphaAmino_Acid', 'Aminoacids_N-AliphaticAmino_Acid'}"
